i_cid_obito,
"A17",
"A19",
"A33",
"A35",
"A36",
"A37",
"A80",
"B05",
"B06",
"B16",
"B26",
"G00.0",
"P35.0",
"P35.3",
"A50",
"B20",
"B21",
"B22",
"B23",
"B24",
"P02.2",
"P02.3",
"P02.7",
"P02.9",
"P00",
"P04",
"P01",
"P05",
"P07",
"P22.0",
"P26",
"P52",
"P55.0",
"P55.1",
"P55.8",
"P55.9",
"P56",
"P57",
"P77",
"P02.0",
"P02.1",
"P02.4",
"P02.5",
"P02.6",
"P03",
"P08",
"P10",
"P11",
"P12",
"P13",
"P14",
"P15",
"P20",
"P21",
"P24.0",
"P24.1",
"P24.2",
"P24.8",
"P24.9",
"P22.1",
"P22.8",
"P22.9",
"P23",
"P25",
"P27",
"P28",
"P35.1",
"P35.2",
"P35.4",
"P35.5",
"P35.6",
"P35.7",
"P35.8",
"P35.9",
"P36",
"P37",
"P38",
"P39",
"P50",
"P51",
"P53",
"P54",
"P58",
"P59",
"P70",
"P71",
"P72",
"P73",
"P74",
"P60",
"P61",
"P75",
"P76",
"P78",
"P80",
"P81",
"P82",
"P83",
"P90",
"P91",
"P92",
"P93",
"P94",
"P96.0",
"P96.1",
"P96.2",
"P96.3",
"P96.4",
"P96.5",
"P96.6",
"P96.7",
"P96.8",
"A15",
"A16",
"A18",
"G00.1",
"G00.2",
"G00.3",
"G00.4",
"G00.5",
"G00.6",
"G00.7",
"G00.8",
"G00.9",
"G03",
"J00",
"J01",
"J02",
"J03",
"J04",
"J05",
"J06",
"J12",
"J13",
"J14",
"J15",
"J16",
"J17",
"J18",
"J20",
"J21",
"J22",
"J38.4",
"J40",
"J41",
"J42",
"J45",
"J46",
"J47",
"J68",
"J69",
"A70",
"A71",
"A72",
"A73",
"A74",
"A30",
"A31",
"A32",
"A38",
"A39",
"A40",
"A41",
"A46",
"A49",
"E03.0",
"E03.1",
"E10",
"E11",
"E12",
"E13",
"E14",
"E70.0",
"G40",
"G41",
"Q90",
"N39.0",
"I00",
"I01",
"I02",
"I03",
"I04",
"I05",
"I06",
"I07",
"I08",
"I09",
"A00",
"A01",
"A02",
"A03",
"A04",
"A05",
"A06",
"A07",
"A08",
"A09",
"A20",
"A21",
"A22",
"A23",
"A24",
"A25",
"A26",
"A27",
"A28",
"A90",
"A91",
"A92",
"A93",
"A94",
"A95",
"A96",
"A97",
"A98",
"A99",
"A75",
"A76",
"A77",
"A78",
"A79",
"A82",
"B50",
"B51",
"B52",
"B53",
"B54",
"B55",
"B56",
"B57",
"B58",
"B59",
"B60",
"B61",
"B62",
"B63",
"B64",
"B99",
"D50",
"D51",
"D52",
"D53",
"E40",
"E41",
"E42",
"E43",
"E44",
"E45",
"E46",
"E47",
"E48",
"E49",
"E86",
"V01",
"V99",
"X40",
"X41",
"X42",
"X43",
"X44",
"X45",
"X46",
"X47",
"X48",
"X49",
"R95",
"W00",
"W01",
"W02",
"W03",
"W04",
"W05",
"W06",
"W07",
"W08",
"W09",
"W10",
"W11",
"W12",
"W13",
"W14",
"W15",
"W16",
"W17",
"W18",
"W19",
"X00",
"X01",
"X02",
"X03",
"X04",
"X05",
"X06",
"X07",
"X08",
"X09",
"X30",
"X31",
"X32",
"X33",
"X34",
"X35",
"X36",
"X37",
"X38",
"X39",
"W65",
"W66",
"W67",
"W68",
"W69",
"W70",
"W71",
"W72",
"W73",
"W74",
"W75",
"W76",
"W77",
"W78",
"W79",
"W80",
"W81",
"W82",
"W83",
"W84",
"W85",
"W86",
"W87",
"W88",
"W89",
"W90",
"W91",
"W92",
"W93",
"W94",
"W95",
"W96",
"W97",
"W98",
"W99",
"X85",
"X86",
"X87",
"X88",
"X89",
"X90",
"X91",
"X92",
"X93",
"X94",
"X95",
"X96",
"X97",
"X98",
"X99",
"Y10",
"Y11",
"Y12",
"Y13",
"Y14",
"Y15",
"Y16",
"Y17",
"Y18",
"Y19",
"Y20",
"Y21",
"Y22",
"Y23",
"Y24",
"Y25",
"Y26",
"Y27",
"Y28",
"Y29",
"Y30",
"Y31",
"Y32",
"Y33",
"Y34",
"W20",
"W21",
"W22",
"W23",
"W24",
"W25",
"W26",
"W27",
"W28",
"W29",
"W30",
"W31",
"W32",
"W33",
"W34",
"W35",
"W36",
"W37",
"W38",
"W39",
"Y60",
"Y61",
"Y62",
"Y63",
"Y64",
"Y65",
"Y66",
"Y67",
"Y68",
"Y69",
"Y83",
"Y84",
"Y40",
"Y41",
"Y42",
"Y43",
"Y44",
"Y45",
"Y46",
"Y47",
"Y48",
"Y49",
"R00",
"R01",
"R02",
"R03",
"R04",
"R05",
"R06",
"R07",
"R08",
"R09",
"R10",
"R11",
"R12",
"R13",
"R14",
"R15",
"R16",
"R17",
"R18",
"R19",
"R20",
"R21",
"R22",
"R23",
"R24",
"R25",
"R26",
"R27",
"R28",
"R29",
"R30",
"R31",
"R32",
"R33",
"R34",
"R35",
"R36",
"R37",
"R38",
"R39",
"R40",
"R41",
"R42",
"R43",
"R44",
"R45",
"R46",
"R47",
"R48",
"R49",
"R50",
"R51",
"R52",
"R53",
"R54",
"R55",
"R56",
"R57",
"R58",
"R59",
"R60",
"R61",
"R62",
"R63",
"R64",
"R65",
"R66",
"R67",
"R68",
"R69",
"R70",
"R71",
"R72",
"R73",
"R74",
"R75",
"R76",
"R77",
"R78",
"R79",
"R80",
"R81",
"R82",
"R83",
"R84",
"R85",
"R86",
"R87",
"R88",
"R89",
"R90",
"R91",
"R92",
"R93",
"R94",
"R96",
"R97",
"R98",
"R99",
"P95",
"P96.9"
