i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,6,82
2022,Águas Claras,Vaginal,6,40
2022,Arniqueiras,Cesário,6,18
2022,Arniqueiras,Vaginal,6,8
2022,Brazlândia,Cesário,6,50
2022,Brazlândia,Vaginal,6,43
2022,Candangolândia,Cesário,6,13
2022,Candangolândia,Vaginal,6,2
2022,Ceilândia,Cesário,6,182
2022,Ceilândia,Vaginal,6,178
2022,Cruzeiro,Cesário,6,11
2022,Cruzeiro,Vaginal,6,7
2022,Fercal,Cesário,6,7
2022,Fercal,Vaginal,6,6
2022,Gama,Cesário,6,70
2022,Gama,Vaginal,6,58
2022,Guará,Cesário,6,85
2022,Guará,Vaginal,6,49
2022,Itapoã,Cesário,6,42
2022,Itapoã,Vaginal,6,36
2022,Jardim Botânico,Cesário,6,35
2022,Jardim Botânico,Vaginal,6,16
2022,Lago Norte,Cesário,6,14
2022,Lago Norte,Vaginal,6,10
2022,Lago Sul,Cesário,6,9
2022,Lago Sul,Vaginal,6,4
2022,Não Informado,Cesário,6,26
2022,Não Informado,Vaginal,6,19
2022,Núcleo Bandeirante,Cesário,6,16
2022,Núcleo Bandeirante,Vaginal,6,7
2022,Paranoá,Cesário,6,33
2022,Paranoá,Vaginal,6,46
2022,Park Way,Cesário,6,9
2022,Park Way,Vaginal,6,5
2022,Planaltina,Cesário,6,85
2022,Planaltina,Vaginal,6,126
2022,Plano Piloto,Cesário,6,105
2022,Plano Piloto,Vaginal,6,71
2022,Recanto das Emas,Cesário,6,72
2022,Recanto das Emas,Vaginal,6,73
2022,Riacho Fundo,Cesário,6,32
2022,Riacho Fundo,Vaginal,6,27
2022,Riacho Fundo II,Cesário,6,33
2022,Riacho Fundo II,Vaginal,6,16
2022,Samambaia,Cesário,6,135
2022,Samambaia,Não Informado,6,1
2022,Samambaia,Vaginal,6,106
2022,Santa Maria,Cesário,6,83
2022,Santa Maria,Vaginal,6,69
2022,São Sebastião,Cesário,6,44
2022,São Sebastião,Vaginal,6,51
2022,SCIA/Estrutural,Cesário,6,32
2022,SCIA/Estrutural,Vaginal,6,28
2022,SIA,Cesário,6,1
2022,SIA,Vaginal,6,1
2022,Sobradinho,Cesário,6,57
2022,Sobradinho,Vaginal,6,32
2022,Sobradinho II,Cesário,6,48
2022,Sobradinho II,Vaginal,6,36
2022,Sol Nascente,Cesário,6,40
2022,Sol Nascente,Vaginal,6,55
2022,Sudoeste/Octogonal,Cesário,6,31
2022,Sudoeste/Octogonal,Vaginal,6,8
2022,Taguatinga,Cesário,6,114
2022,Taguatinga,Vaginal,6,74
2022,Varjão,Cesário,6,8
2022,Varjão,Vaginal,6,10
2022,Vicente Pires,Cesário,6,49
2022,Vicente Pires,Vaginal,6,32
2022,,Cesário,6,2
2022,,Vaginal,6,1
