i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,2,87
2022,Águas Claras,Vaginal,2,40
2022,Arniqueiras,Cesário,2,17
2022,Arniqueiras,Vaginal,2,5
2022,Brazlândia,Cesário,2,33
2022,Brazlândia,Vaginal,2,28
2022,Candangolândia,Cesário,2,10
2022,Candangolândia,Vaginal,2,5
2022,Ceilândia,Cesário,2,176
2022,Ceilândia,Vaginal,2,148
2022,Cruzeiro,Cesário,2,12
2022,Cruzeiro,Vaginal,2,6
2022,Fercal,Cesário,2,4
2022,Fercal,Vaginal,2,7
2022,Gama,Cesário,2,61
2022,Gama,Vaginal,2,53
2022,Guará,Cesário,2,94
2022,Guará,Vaginal,2,36
2022,Itapoã,Cesário,2,34
2022,Itapoã,Vaginal,2,35
2022,Jardim Botânico,Cesário,2,37
2022,Jardim Botânico,Vaginal,2,12
2022,Lago Norte,Cesário,2,24
2022,Lago Norte,Vaginal,2,17
2022,Lago Sul,Cesário,2,18
2022,Lago Sul,Vaginal,2,7
2022,Não Informado,Cesário,2,13
2022,Não Informado,Vaginal,2,6
2022,Núcleo Bandeirante,Cesário,2,11
2022,Núcleo Bandeirante,Vaginal,2,12
2022,Paranoá,Cesário,2,36
2022,Paranoá,Vaginal,2,26
2022,Park Way,Cesário,2,7
2022,Park Way,Vaginal,2,7
2022,Planaltina,Cesário,2,80
2022,Planaltina,Vaginal,2,113
2022,Plano Piloto,Cesário,2,95
2022,Plano Piloto,Vaginal,2,67
2022,Recanto das Emas,Cesário,2,60
2022,Recanto das Emas,Vaginal,2,70
2022,Riacho Fundo,Cesário,2,37
2022,Riacho Fundo,Vaginal,2,20
2022,Riacho Fundo II,Cesário,2,35
2022,Riacho Fundo II,Vaginal,2,16
2022,Samambaia,Cesário,2,140
2022,Samambaia,Não Informado,2,1
2022,Samambaia,Vaginal,2,105
2022,Santa Maria,Cesário,2,92
2022,Santa Maria,Vaginal,2,83
2022,São Sebastião,Cesário,2,70
2022,São Sebastião,Vaginal,2,71
2022,SCIA/Estrutural,Cesário,2,27
2022,SCIA/Estrutural,Vaginal,2,29
2022,Sobradinho,Cesário,2,63
2022,Sobradinho,Vaginal,2,36
2022,Sobradinho II,Cesário,2,54
2022,Sobradinho II,Vaginal,2,33
2022,Sol Nascente,Cesário,2,34
2022,Sol Nascente,Vaginal,2,51
2022,Sudoeste/Octogonal,Cesário,2,30
2022,Sudoeste/Octogonal,Vaginal,2,19
2022,Taguatinga,Cesário,2,114
2022,Taguatinga,Vaginal,2,52
2022,Varjão,Cesário,2,4
2022,Varjão,Vaginal,2,6
2022,Vicente Pires,Cesário,2,41
2022,Vicente Pires,Vaginal,2,25
2022,,Cesário,2,3
2022,,Vaginal,2,1
