i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,8,94
2022,Águas Claras,Vaginal,8,50
2022,Arniqueiras,Cesário,8,8
2022,Arniqueiras,Vaginal,8,7
2022,Brazlândia,Cesário,8,35
2022,Brazlândia,Vaginal,8,23
2022,Candangolândia,Cesário,8,5
2022,Candangolândia,Vaginal,8,3
2022,Ceilândia,Cesário,8,152
2022,Ceilândia,Vaginal,8,165
2022,Cruzeiro,Cesário,8,9
2022,Cruzeiro,Vaginal,8,11
2022,Fercal,Cesário,8,7
2022,Fercal,Vaginal,8,5
2022,Gama,Cesário,8,69
2022,Gama,Vaginal,8,57
2022,Guará,Cesário,8,90
2022,Guará,Vaginal,8,39
2022,Itapoã,Cesário,8,39
2022,Itapoã,Vaginal,8,44
2022,Jardim Botânico,Cesário,8,31
2022,Jardim Botânico,Vaginal,8,18
2022,Lago Norte,Cesário,8,19
2022,Lago Norte,Vaginal,8,17
2022,Lago Sul,Cesário,8,15
2022,Lago Sul,Vaginal,8,7
2022,Não Informado,Cesário,8,18
2022,Não Informado,Vaginal,8,9
2022,Núcleo Bandeirante,Cesário,8,15
2022,Núcleo Bandeirante,Vaginal,8,9
2022,Paranoá,Cesário,8,35
2022,Paranoá,Vaginal,8,34
2022,Park Way,Cesário,8,8
2022,Park Way,Vaginal,8,16
2022,Planaltina,Cesário,8,87
2022,Planaltina,Vaginal,8,104
2022,Plano Piloto,Cesário,8,115
2022,Plano Piloto,Vaginal,8,75
2022,Recanto das Emas,Cesário,8,65
2022,Recanto das Emas,Vaginal,8,78
2022,Riacho Fundo,Cesário,8,42
2022,Riacho Fundo,Vaginal,8,18
2022,Riacho Fundo II,Cesário,8,30
2022,Riacho Fundo II,Vaginal,8,14
2022,Samambaia,Cesário,8,148
2022,Samambaia,Vaginal,8,108
2022,Santa Maria,Cesário,8,69
2022,Santa Maria,Vaginal,8,64
2022,São Sebastião,Cesário,8,72
2022,São Sebastião,Vaginal,8,69
2022,SCIA/Estrutural,Cesário,8,35
2022,SCIA/Estrutural,Vaginal,8,37
2022,SIA,Cesário,8,1
2022,SIA,Vaginal,8,1
2022,Sobradinho,Cesário,8,55
2022,Sobradinho,Vaginal,8,35
2022,Sobradinho II,Cesário,8,44
2022,Sobradinho II,Vaginal,8,23
2022,Sol Nascente,Cesário,8,40
2022,Sol Nascente,Vaginal,8,46
2022,Sudoeste/Octogonal,Cesário,8,22
2022,Sudoeste/Octogonal,Vaginal,8,11
2022,Taguatinga,Cesário,8,107
2022,Taguatinga,Vaginal,8,62
2022,Varjão,Cesário,8,7
2022,Varjão,Vaginal,8,6
2022,Vicente Pires,Cesário,8,62
2022,Vicente Pires,Vaginal,8,28
