i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,3,117
2022,Águas Claras,Vaginal,3,39
2022,Arniqueiras,Cesário,3,13
2022,Arniqueiras,Vaginal,3,3
2022,Brazlândia,Cesário,3,48
2022,Brazlândia,Vaginal,3,31
2022,Candangolândia,Cesário,3,6
2022,Candangolândia,Vaginal,3,7
2022,Ceilândia,Cesário,3,186
2022,Ceilândia,Vaginal,3,182
2022,Cruzeiro,Cesário,3,20
2022,Cruzeiro,Vaginal,3,2
2022,Fercal,Cesário,3,3
2022,Fercal,Vaginal,3,7
2022,Gama,Cesário,3,88
2022,Gama,Vaginal,3,69
2022,Guará,Cesário,3,86
2022,Guará,Vaginal,3,69
2022,Itapoã,Cesário,3,29
2022,Itapoã,Vaginal,3,41
2022,Jardim Botânico,Cesário,3,31
2022,Jardim Botânico,Vaginal,3,30
2022,Lago Norte,Cesário,3,18
2022,Lago Norte,Vaginal,3,16
2022,Lago Sul,Cesário,3,12
2022,Lago Sul,Vaginal,3,8
2022,Não Informado,Cesário,3,13
2022,Não Informado,Vaginal,3,10
2022,Núcleo Bandeirante,Cesário,3,8
2022,Núcleo Bandeirante,Vaginal,3,7
2022,Paranoá,Cesário,3,45
2022,Paranoá,Vaginal,3,47
2022,Park Way,Cesário,3,9
2022,Park Way,Vaginal,3,9
2022,Planaltina,Cesário,3,125
2022,Planaltina,Vaginal,3,117
2022,Plano Piloto,Cesário,3,98
2022,Plano Piloto,Vaginal,3,79
2022,Recanto das Emas,Cesário,3,70
2022,Recanto das Emas,Não Informado,3,1
2022,Recanto das Emas,Vaginal,3,90
2022,Riacho Fundo,Cesário,3,34
2022,Riacho Fundo,Vaginal,3,36
2022,Riacho Fundo II,Cesário,3,35
2022,Riacho Fundo II,Vaginal,3,21
2022,Samambaia,Cesário,3,134
2022,Samambaia,Vaginal,3,123
2022,Santa Maria,Cesário,3,84
2022,Santa Maria,Vaginal,3,80
2022,São Sebastião,Cesário,3,59
2022,São Sebastião,Vaginal,3,83
2022,SCIA/Estrutural,Cesário,3,27
2022,SCIA/Estrutural,Vaginal,3,27
2022,SIA,Cesário,3,1
2022,Sobradinho,Cesário,3,52
2022,Sobradinho,Vaginal,3,35
2022,Sobradinho II,Cesário,3,63
2022,Sobradinho II,Vaginal,3,37
2022,Sol Nascente,Cesário,3,29
2022,Sol Nascente,Não Informado,3,1
2022,Sol Nascente,Vaginal,3,50
2022,Sudoeste/Octogonal,Cesário,3,28
2022,Sudoeste/Octogonal,Vaginal,3,10
2022,Taguatinga,Cesário,3,131
2022,Taguatinga,Vaginal,3,74
2022,Varjão,Cesário,3,3
2022,Varjão,Vaginal,3,9
2022,Vicente Pires,Cesário,3,48
2022,Vicente Pires,Não Informado,3,1
2022,Vicente Pires,Vaginal,3,27
2022,,Cesário,3,1
2022,,Vaginal,3,1
