i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,4,107
2022,Águas Claras,Vaginal,4,36
2022,Arniqueiras,Cesário,4,17
2022,Arniqueiras,Vaginal,4,6
2022,Brazlândia,Cesário,4,47
2022,Brazlândia,Vaginal,4,30
2022,Candangolândia,Cesário,4,11
2022,Candangolândia,Vaginal,4,10
2022,Ceilândia,Cesário,4,146
2022,Ceilândia,Vaginal,4,172
2022,Cruzeiro,Cesário,4,13
2022,Cruzeiro,Vaginal,4,9
2022,Fercal,Cesário,4,5
2022,Fercal,Vaginal,4,12
2022,Gama,Cesário,4,73
2022,Gama,Vaginal,4,57
2022,Guará,Cesário,4,94
2022,Guará,Vaginal,4,51
2022,Itapoã,Cesário,4,29
2022,Itapoã,Vaginal,4,52
2022,Jardim Botânico,Cesário,4,27
2022,Jardim Botânico,Vaginal,4,18
2022,Lago Norte,Cesário,4,20
2022,Lago Norte,Vaginal,4,11
2022,Lago Sul,Cesário,4,18
2022,Lago Sul,Vaginal,4,7
2022,Não Informado,Cesário,4,14
2022,Não Informado,Vaginal,4,13
2022,Núcleo Bandeirante,Cesário,4,19
2022,Núcleo Bandeirante,Vaginal,4,12
2022,Paranoá,Cesário,4,45
2022,Paranoá,Vaginal,4,39
2022,Park Way,Cesário,4,13
2022,Park Way,Vaginal,4,4
2022,Planaltina,Cesário,4,101
2022,Planaltina,Vaginal,4,109
2022,Plano Piloto,Cesário,4,104
2022,Plano Piloto,Vaginal,4,79
2022,Recanto das Emas,Cesário,4,66
2022,Recanto das Emas,Vaginal,4,76
2022,Riacho Fundo,Cesário,4,47
2022,Riacho Fundo,Vaginal,4,27
2022,Riacho Fundo II,Cesário,4,32
2022,Riacho Fundo II,Vaginal,4,16
2022,Samambaia,Cesário,4,145
2022,Samambaia,Vaginal,4,112
2022,Santa Maria,Cesário,4,64
2022,Santa Maria,Não Informado,4,1
2022,Santa Maria,Vaginal,4,51
2022,São Sebastião,Cesário,4,76
2022,São Sebastião,Vaginal,4,68
2022,SCIA/Estrutural,Cesário,4,29
2022,SCIA/Estrutural,Vaginal,4,37
2022,SIA,Vaginal,4,1
2022,Sobradinho,Cesário,4,57
2022,Sobradinho,Vaginal,4,44
2022,Sobradinho II,Cesário,4,55
2022,Sobradinho II,Vaginal,4,41
2022,Sol Nascente,Cesário,4,46
2022,Sol Nascente,Vaginal,4,67
2022,Sudoeste/Octogonal,Cesário,4,27
2022,Sudoeste/Octogonal,Vaginal,4,11
2022,Taguatinga,Cesário,4,106
2022,Taguatinga,Vaginal,4,67
2022,Varjão,Cesário,4,5
2022,Varjão,Vaginal,4,8
2022,Vicente Pires,Cesário,4,44
2022,Vicente Pires,Vaginal,4,24
2022,,Cesário,4,1
