i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,7,90
2022,Águas Claras,Vaginal,7,59
2022,Arniqueiras,Cesário,7,16
2022,Arniqueiras,Vaginal,7,7
2022,Brazlândia,Cesário,7,44
2022,Brazlândia,Vaginal,7,32
2022,Candangolândia,Cesário,7,6
2022,Candangolândia,Vaginal,7,11
2022,Ceilândia,Cesário,7,169
2022,Ceilândia,Vaginal,7,177
2022,Cruzeiro,Cesário,7,12
2022,Cruzeiro,Vaginal,7,8
2022,Fercal,Cesário,7,8
2022,Fercal,Vaginal,7,4
2022,Gama,Cesário,7,73
2022,Gama,Vaginal,7,49
2022,Guará,Cesário,7,87
2022,Guará,Vaginal,7,42
2022,Itapoã,Cesário,7,45
2022,Itapoã,Vaginal,7,45
2022,Jardim Botânico,Cesário,7,32
2022,Jardim Botânico,Vaginal,7,12
2022,Lago Norte,Cesário,7,20
2022,Lago Norte,Vaginal,7,10
2022,Lago Sul,Cesário,7,12
2022,Lago Sul,Vaginal,7,7
2022,Não Informado,Cesário,7,36
2022,Não Informado,Vaginal,7,37
2022,Núcleo Bandeirante,Cesário,7,18
2022,Núcleo Bandeirante,Vaginal,7,8
2022,Paranoá,Cesário,7,43
2022,Paranoá,Vaginal,7,37
2022,Park Way,Cesário,7,13
2022,Park Way,Vaginal,7,6
2022,Planaltina,Cesário,7,93
2022,Planaltina,Vaginal,7,104
2022,Plano Piloto,Cesário,7,129
2022,Plano Piloto,Vaginal,7,79
2022,Recanto das Emas,Cesário,7,60
2022,Recanto das Emas,Vaginal,7,71
2022,Riacho Fundo,Cesário,7,30
2022,Riacho Fundo,Vaginal,7,24
2022,Riacho Fundo II,Cesário,7,31
2022,Riacho Fundo II,Vaginal,7,17
2022,Samambaia,Cesário,7,141
2022,Samambaia,Vaginal,7,104
2022,Santa Maria,Cesário,7,72
2022,Santa Maria,Vaginal,7,48
2022,São Sebastião,Cesário,7,67
2022,São Sebastião,Vaginal,7,83
2022,SCIA/Estrutural,Cesário,7,16
2022,SCIA/Estrutural,Vaginal,7,38
2022,SIA,Vaginal,7,1
2022,Sobradinho,Cesário,7,46
2022,Sobradinho,Vaginal,7,39
2022,Sobradinho II,Cesário,7,57
2022,Sobradinho II,Vaginal,7,37
2022,Sol Nascente,Cesário,7,33
2022,Sol Nascente,Vaginal,7,47
2022,Sudoeste/Octogonal,Cesário,7,27
2022,Sudoeste/Octogonal,Vaginal,7,16
2022,Taguatinga,Cesário,7,120
2022,Taguatinga,Vaginal,7,78
2022,Varjão,Cesário,7,9
2022,Varjão,Vaginal,7,3
2022,Vicente Pires,Cesário,7,55
2022,Vicente Pires,Vaginal,7,18
2022,,Cesário,7,2
2022,,Vaginal,7,1
